/home/user/contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0
Count = 0, TX Power = 3, RSSI = -37 
Count = 1, TX Power = 3, RSSI = -40 
Count = 9, TX Power = 3, RSSI = -40 
Count = 10, TX Power = 3, RSSI = -40 
Count = 11, TX Power = 3, RSSI = -39 
Count = 12, TX Power = 3, RSSI = -39 
Count = 14, TX Power = 3, RSSI = -40 
Count = 15, TX Power = 3, RSSI = -43 
Count = 21, TX Power = 3, RSSI = -39 
Count = 24, TX Power = 3, RSSI = -37 
Count = 25, TX Power = 3, RSSI = -38 
Count = 26, TX Power = 3, RSSI = -38 
Count = 27, TX Power = 3, RSSI = -38 
Count = 28, TX Power = 3, RSSI = -39 
Count = 29, TX Power = 3, RSSI = -40 
Count = 30, TX Power = 3, RSSI = -39 
Count = 31, TX Power = 3, RSSI = -39 
Count = 0, TX Power = 7, RSSI = -31 
Count = 1, TX Power = 7, RSSI = -30 
Count = 6, TX Power = 7, RSSI = -27 
Count = 7, TX Power = 7, RSSI = -26 
Count = 9, TX Power = 7, RSSI = -27 
Count = 11, TX Power = 7, RSSI = -29 
Count = 13, TX Power = 7, RSSI = -29 
Count = 14, TX Power = 7, RSSI = -29 
Count = 15, TX Power = 7, RSSI = -29 
Count = 16, TX Power = 7, RSSI = -29 
Count = 17, TX Power = 7, RSSI = -29 
Count = 18, TX Power = 7, RSSI = -33 
Count = 20, TX Power = 7, RSSI = -32 
Count = 21, TX Power = 7, RSSI = -32 
Count = 22, TX Power = 7, RSSI = -35 
Count = 24, TX Power = 7, RSSI = -33 
Count = 25, TX Power = 7, RSSI = -31 
Count = 26, TX Power = 7, RSSI = -30 
Count = 27, TX Power = 7, RSSI = -31 
Count = 28, TX Power = 7, RSSI = -31 
Count = 29, TX Power = 7, RSSI = -29 
Count = 31, TX Power = 7, RSSI = -23 
Count = 0, TX Power = 11, RSSI = -23 
Count = 2, TX Power = 11, RSSI = -25 
Count = 3, TX Power = 11, RSSI = -25 
Count = 5, TX Power = 11, RSSI = -25 
Count = 6, TX Power = 11, RSSI = -25 
Count = 7, TX Power = 11, RSSI = -25 
Count = 8, TX Power = 11, RSSI = -25 
Count = 9, TX Power = 11, RSSI = -25 
Count = 10, TX Power = 11, RSSI = -29 
Count = 12, TX Power = 11, RSSI = -29 
Count = 13, TX Power = 11, RSSI = -29 
Count = 14, TX Power = 11, RSSI = -29 
Count = 15, TX Power = 11, RSSI = -29 
